Kommunkod;Kommun;Folkmängd 31 december 2020;Huvudgrupp kod;Huvudgrupp namn;Kommungrupp kod;Kommungrupp 2017 namn;Länskod;Län;Region;;;;;;;;;;;;;;;;;;;;;;;
1292;Ängelholm;42 910;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1293;Hässleholm;52 010;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;12;Skåne län;Region Skåne;;;;;;;;;;;;;;;;;;;;;;;
1315;Hylte;10 649;B;Större städer och kommuner nära större stad;5;Lågpendlingskommun nära större stad;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1380;Halmstad;103 754;B;Större städer och kommuner nära större stad;3;Större stad;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1381;Laholm;25 967;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1382;Falkenberg;46 051;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1383;Varberg;65 397;C;Mindre städer/tätorter och landsbygdskommuner;6;Mindre stad/tätort;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1384;Kungsbacka;84 930;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;13;Hallands län;Region Halland;;;;;;;;;;;;;;;;;;;;;;;
1401;Härryda;38 246;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1402;Partille;39 512;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1407;Öckerö;12 934;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1415;Stenungsund;27 044;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1419;Tjörn;16 147;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1421;Orust;15 315;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1427;Sotenäs;9 100;C;Mindre städer/tätorter och landsbygdskommuner;9;Landsbygdskommun med besöksnäring;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1430;Munkedal;10 582;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1435;Tanum;12 912;C;Mindre städer/tätorter och landsbygdskommuner;9;Landsbygdskommun med besöksnäring;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1438;Dals-Ed;4 761;C;Mindre städer/tätorter och landsbygdskommuner;8;Landsbygdskommun;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1439;Färgelanda;6 658;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1440;Ale;31 868;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1441;Lerum;43 020;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1442;Vårgårda;11 946;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1443;Bollebygd;9 544;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1444;Grästorp;5 685;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
1445;Essunga;5 687;C;Mindre städer/tätorter och landsbygdskommuner;7;Pendlingskommun nära mindre stad/tätort;14;Västra Götalands län;Västra Götalandsregionen;;;;;;;;;;;;;;;;;;;;;;;
